ID,cuis
ROCO_00065,C0015726;C1306645;C1962945;C1548003;C1261259;C0423899;C0043299
ROCO_00066,C1507248;C0015811;C0009924
ROCO_00067,C0772294
ROCO_00069,C0015252;C0007876;C1552858;C0040405;C4300092;C0040395;C0728940;C0022646;C1507248;C0034579;C0042449;C0009924
ROCO_00070,C1306645;C1962945;C1548003;C0043299;C3244072
ROCO_00072,C0015726;C0040395;C1261259;C0423899;C0040405
ROCO_00074,C0015726;C0043299;C1962945;C1261259;C0423899;C0025066;C1306645
ROCO_00075,C0015726;C0751437;C1553386;C1261259;C0423899;C0087111;C0023884;C0817096
ROCO_00077,C1550227
ROCO_00078,C1306645;C1548003;C0043299;C1962945
ROCO_00080,C1507248;C1837463;C0006104;C0376152;C0009924;C1546708;C0771936
ROCO_00081,C0038351;C0030797
ROCO_00083,C1709311;C0817096
ROCO_00085,C0015726;C1552858;C0423899;C1261259;C0015252;C1837463;C0007876;C1507248;C0376152;C0796494;C0009924;C1546708;C0728940;C0771936
ROCO_00086,C0751437;C3244072;C1837463;C0041618;C0751438;C0376152;C1546708
ROCO_00087,C0015726;C3244072;C0240795;C0556030;C1261259;C0423899;C0231519;C0817096
ROCO_00088,C3891555;C0935598;C0002978;C1548816;C4255126;C0607422
ROCO_00091,C1837463;C0030274;C1546708;C0771936;C0376152
ROCO_00092,C0002978;C1837463;C0376152;C1546708;C0771936
ROCO_00093,C0751437;C0013604;C0005847
ROCO_00094,C0043299;C1306645;C1548003
ROCO_00095,C0041618;C0262950
ROCO_00097,C1696103;C0751438;C0025066;C0018792
ROCO_00098,C0011334;C0041618
ROCO_00100,C0751437
ROCO_00101,C1548003;C1962945;C0772294;C0043299;C1306645
ROCO_00102,C0221874;C0015252;C0007876;C0607422;C1552858;C1546708;C1837463;C0728940;C1507248;C0030797;C0441633;C0771936;C0003483;C0005847;C0376152;C0009924
ROCO_00103,C0013516;C0003483;C0183129
ROCO_00104,C0772294;C0221198
ROCO_00105,C1696103;C0772294;C0796494
ROCO_00106,C0015726;C1261259;C0423899
ROCO_00109,C1696103;C0150312;C0231881
ROCO_00111,C0027651
ROCO_00116,C0040395;C0034579;C0040405;C4300092
ROCO_00120,C0013687;C0015726;C1546613;C1261259;C0423899;C0018787;C0018792
ROCO_00121,C1696103;C0002978;C0549207;C0003842;C0231881;C1837463;C0771936;C1546708
ROCO_00123,C0015726;C0028778;C0011334;C0423899;C1261259;C0376152;C1837463;C1546708
ROCO_00124,C0041618;C0005847
ROCO_00125,C0040395;C0030274;C0034579;C0000726;C0040405
ROCO_00127,C1306645;C1962945;C1548003;C0772294;C0043299
ROCO_00129,C0015726;C0228505;C2707265;C1962945;C1548003;C1261259;C0423899;C1837463;C0043299;C1306645;C0817096;C0376152;C0024109;C1546708;C0771936
ROCO_00131,C0015726;C1261259;C0423899;C0079595
ROCO_00132,C0027651;C0038351;C0000726;C0441633
ROCO_00133,C0024947;C0004454
ROCO_00135,C0227665;C0023884;C0441633;C0022646
ROCO_00139,C1306645;C1548003;C0043299;C1962945
ROCO_00140,C1962945;C0043299;C1306645
ROCO_00141,C0015726;C1837463;C0423899;C1550227;C1546708;C0771936;C1261259;C0751438;C0376152
ROCO_00142,C1548003;C1962945;C0043299;C1306645
ROCO_00143,C0040395;C0000726;C0935598;C0034579;C4300092;C0040405
ROCO_00144,C0015726;C0034579;C0423899;C0221874
ROCO_00145,C1837463;C0376152;C0441633;C1546708;C0771936
ROCO_00147,C0441633;C0221874
ROCO_00148,C0043299;C1548003;C1306645
ROCO_00150,C0015726;C2985765;C1507248;C1261259;C0423899;C0009924;C0231881
ROCO_00152,C0027651;C1696103;C0030797;C0751438;C0376152;C1546708;C1837463;C0771936
ROCO_00154,C0228505;C1962945;C1548003;C0043299;C1306645;C0817096;C0024109
ROCO_00156,C1561542
ROCO_00157,C0015726;C0728940;C1507248;C0015252;C1261259;C0007876;C1552858;C0009924;C0423899
ROCO_00158,C0015726;C0028778;C0002978;C0772294;C0087111;C0376495;C1837463;C1507248;C0221198;C0423899;C1546708;C0771936;C1261259;C0549207;C0005847;C0376152;C0009924
ROCO_00159,C3244072;C0412555;C0041618;C0023884;C0607422
ROCO_00161,C1696103
ROCO_00163,C0376152;C1546708;C1837463
ROCO_00164,C0772294;C0006104
ROCO_00165,C0015726;C0772294;C0423899;C1261259;C0221198;C0027651;C1507248;C0607422;C0009924;C0441633
ROCO_00166,C0772294
ROCO_00168,C0015726;C1261259;C0002978;C0423899
ROCO_00170,C2355627
ROCO_00171,C0015726;C0687028;C1507248;C1837463;C0376152;C1550227;C0009924;C1546708;C1261259;C0423899;C0771936
ROCO_00172,C1306645;C2707265;C1962945;C1548003;C1837463;C0043299;C0817096;C0376152;C0024109;C1546708
ROCO_00174,C1306645;C1548003;C1962945;C0043299;C0262950
ROCO_00175,C0015726;C1963113;C1261259;C0016658;C0423899
ROCO_00177,C0015726;C1261259;C0423899;C1561542;C0441633
ROCO_00179,C0015726;C1261259;C1696103;C0772294;C0013604;C0423899;C2985765;C0796494
ROCO_00181,C0035139
ROCO_00182,C0040395;C0034579;C0441633;C0040405
ROCO_00188,C0817096
ROCO_00189,C0015811
ROCO_00192,C1306645;C1962945;C1548003;C0043299
ROCO_00193,C1963113;C0016658
ROCO_00194,C1306645;C0000726;C1962945;C1548003;C0043299
ROCO_00195,C0027651;C0441633
ROCO_00196,C0015726;C0034579;C0040395;C1507248;C0423899;C1261259;C0023884;C0150312;C0796494;C0009924;C0040405;C4300092
ROCO_00197,C0015726;C0772294;C1261259;C0423899;C1837463;C0023884;C0376152;C0607422;C0796494;C0231881;C0221198;C1546708
ROCO_00198,C2242558;C1696103;C1551379;C1837463;C0374082;C0376152;C0700185;C0333581;C1546708;C0771936
ROCO_00203,C0751437;C0772294;C1837463;C0376152;C0221198;C1546708
ROCO_00204,C0015726;C0034579;C0040395;C0002978;C0423899;C0006104;C1261259;C0040405;C4300092
ROCO_00207,C1696103
ROCO_00208,C0015726;C0751437;C1261259;C0423899;C0018787
ROCO_00209,C1507248;C0376495;C0087111;C2985765;C0009924
ROCO_00210,C2707265;C0040395;C0034579;C0817096;C0024109;C0441633;C0040405;C4300092
ROCO_00211,C0002978;C0087111
ROCO_00212,C0027530
ROCO_00213,C1306645;C0027530;C1962945;C0772294;C1837463;C0043299;C0015811;C1546708;C0221198;C0771936
ROCO_00214,C1306645;C1962945;C1548003;C0043299;C0817096
ROCO_00216,C0751437
ROCO_00217,C0034579
ROCO_00219,C3891555;C0002978;C1548816;C1837463;C4255126;C0771936;C3244072;C1546708;C0376152
ROCO_00220,C0040395;C1507248;C0027651;C0034579;C1837463;C0376152;C0607422;C0009924;C1546708;C0040405;C4300092;C0771936
ROCO_00222,C0015726;C0043299;C0042449;C1962945;C1548003;C1261259;C0423899;C0018787;C1306645;C0817096;C0015811;C0607422
ROCO_00225,C0015726;C1696103;C0423899;C1261259;C0549207;C0817096
ROCO_00226,C0040405;C0441633;C0034579;C0040395
ROCO_00230,C0772294;C0441633;C0221198;C0817096
ROCO_00231,C0015726;C1261259;C0423899;C0817096;C0796494
ROCO_00232,C0240795;C0556030;C0231519;C0817096
ROCO_00233,C1696103;C1709311;C0772294
ROCO_00234,C0015726;C1551379;C0374082;C0333581;C1837463;C2242558;C0700185;C0423899;C1546708;C0771936;C1696103;C1261259;C0376152
ROCO_00235,C0011334;C0771936;C1837463;C0041618;C0376152;C0000726;C1546708
ROCO_00236,C0700124;C1696103;C1322279;C0000726
ROCO_00237,C0772294;C0221198
ROCO_00238,C1306645;C0003483;C1548003;C1962945;C0043299;C0817096;C0376152;C0024109;C1546708;C1837463;C0771936
ROCO_00239,C0772294
ROCO_00240,C1552858;C0015252;C0007876;C0817096;C0376152;C0024109;C0796494;C1546708;C0728940;C0771936;C1837463
ROCO_00241,C0028778;C0040395;C1696103;C0034579;C0021853;C0607422;C0441633;C0040405
ROCO_00242,C0013516;C2707265;C0003483;C0183129;C0024109
ROCO_00243,C0015726;C1306645;C1261259;C0423899;C0043299;C0015811;C1548003
ROCO_00244,C1962945;C1548003;C0015252;C0043299;C1306645;C0728940
ROCO_00245,C1962945;C1548003;C0018787;C1306645;C0817096
ROCO_00246,C1306645;C1962945;C1548003;C1837463;C0043299;C0376152;C1546708
ROCO_00247,C1306645;C1962945;C1548003;C0043299;C0817096
ROCO_00248,C0018787;C0751437
ROCO_00249,C1709311;C0000726;C0441633
ROCO_00250,C0015726;C0042449;C1261259;C0423899;C1837463;C0376152;C1546708;C0771936
ROCO_00252,C1306645;C1696103;C0043299;C1962945
ROCO_00253,C1306645;C1548003;C0043299
ROCO_00255,C0003842
ROCO_00257,C1306645;C1962945;C1548003;C0043299;C0021853
ROCO_00259,C1696103;C0412555;C0041618
ROCO_00260,C0013516;C0002978;C0183129;C0018787
ROCO_00262,C0024947;C0772294;C0004454;C0041618;C0221198
ROCO_00263,C1561543
ROCO_00265,C0015726;C0011334;C1696103;C1261259;C0423899
ROCO_00266,C0231881
ROCO_00267,C1306645;C1962945;C1548003;C0376152;C1553386;C0043299;C1546708;C1837463;C0771936
ROCO_00269,C1963113;C1696103;C0016658;C1837463;C0376152;C1546708
ROCO_00270,C1322279;C1507248;C0700124;C0038351;C0009924
ROCO_00272,C0043299;C0817096;C1306645
ROCO_00273,C1507248;C0009924;C0027651
ROCO_00274,C0817096
ROCO_00275,C0015726;C0018827;C1261259;C0423899
ROCO_00276,C0228505
ROCO_00279,C0412555
ROCO_00280,C1551379;C0374082;C0333581;C2242558;C1837463;C0025066;C0700185;C1546708;C0771936;C0751437;C1696103
ROCO_00281,C0796494;C0040395;C0221198;C0034579;C0772294;C0040405;C4300092
ROCO_00282,C1963113;C0016658
ROCO_00283,C0231881
ROCO_00284,C0027530
ROCO_00285,C0772294;C1837463;C0006104;C0376152;C0231881;C0221198;C1546708;C0771936
ROCO_00286,C0043299;C1306645;C1548003
ROCO_00287,C0040395;C0034579;C0441633;C0040405;C4300092
ROCO_00288,C0013516;C0183129;C0018792
ROCO_00289,C0027651;C0441633
ROCO_00290,C0015726;C1261259;C0423899;C0150312
ROCO_00291,C4300092;C2242558;C0040395;C0040405;C0374082;C0034579;C0772294;C1551379;C0006104;C0221198;C0700185;C0333581
ROCO_00292,C0015726;C1306645;C2707265;C1962945;C1548003;C1261259;C0423899;C0043299;C0817096;C0024109
ROCO_00293,C0817096
ROCO_00296,C0376152;C1837463;C0038351;C1546708;C0771936
ROCO_00297,C0772294;C0221198
ROCO_00298,C1696103;C1837463;C0376152;C1546708
ROCO_00301,C0935598
ROCO_00304,C0015726;C0423899;C1261259
ROCO_00305,C0015726;C1261259;C0423899;C0227665
ROCO_00306,C1837463;C0376152;C1546708
ROCO_00308,C0030274
ROCO_00309,C0240795;C0556030;C0231519
ROCO_00310,C1551379;C0374082;C0333581;C2242558;C0006104;C0700185;C0028778;C0005847
ROCO_00312,C0005847
ROCO_00313,C0231519;C0240795;C1962945;C0556030;C0043299;C1306645;C1548003
ROCO_00314,C0015726;C0013516;C1261259;C0700124;C0423899;C0183129;C1322279;C0018792;C2355627;C0018827
ROCO_00315,C1963113;C0016658;C1837463;C0376152;C1546708
ROCO_00317,C4300092;C0034579;C0771936;C1837463;C0376152;C1546708;C0040395;C0040405;C0441633
ROCO_00318,C1306645;C1962945;C1548003;C0030797;C0043299
ROCO_00320,C1553386;C0006104;C1546708;C1837463;C0771936
ROCO_00321,C0015726;C0042449;C1696103;C1261259;C0423899;C0227665;C0376152;C1546708;C1837463;C0022646
ROCO_00322,C0040395;C0034579;C0040405
ROCO_00325,C0040395;C1696103;C0034579;C1837463;C0376152;C1546708;C0040405;C4300092
ROCO_00326,C0027651
ROCO_00327,C0003842;C0000726
ROCO_00329,C0041618;C0412555
ROCO_00330,C0030274;C0772294;C0221198
ROCO_00331,C0043299;C1306645;C1548003;C1561542
ROCO_00334,C0027530;C0040395;C0034579;C0040405
ROCO_00335,C1837463;C0376152;C0000726;C1546708
ROCO_00336,C0025066
ROCO_00337,C1507248;C0038351;C0009924
ROCO_00338,C1837463;C0015811;C1546708;C0771936
ROCO_00339,C1696103;C0027651;C0079595;C0231881
ROCO_00340,C0441633;C0221874
ROCO_00342,C1548003;C1962945;C1561542;C0043299;C1306645
ROCO_00343,C0021853
ROCO_00344,C3244072;C0041618
ROCO_00345,C3244072;C1553386
ROCO_00347,C0040395;C0040405;C0034579;C0772294;C0817096;C0024109;C0221198;C4300092
ROCO_00348,C0935598
ROCO_00349,C0042449
ROCO_00351,C0015726;C1261259;C0040395;C1507248;C0034579;C0423899;C0009924;C0040405;C4300092
ROCO_00352,C1507248;C1561542;C0009924
ROCO_00354,C0771936;C0376152;C0607422;C0441633;C1837463;C1546708
ROCO_00356,C0043299;C1306645;C1963113;C0016658
ROCO_00358,C1837463;C1546708;C0771936
ROCO_00359,C0687028;C0030274;C1561542;C1550227;C0231881
ROCO_00361,C0015726;C0751437;C4300092;C0034579;C0423899;C0227665;C0000726;C0040395;C0441633;C1261259;C0040405;C0022646
ROCO_00362,C0772294;C0006104;C0231881
ROCO_00363,C0751437
ROCO_00364,C0040395;C0034579;C2985765;C0441633;C0040405;C4300092
ROCO_00365,C0015726;C0013516;C1261259;C0423899;C0183129;C0771936;C2355627;C0376152;C0018827;C1546708;C1837463
ROCO_00366,C4300092;C0040395;C0728940;C1552858;C0034579;C0015252;C0007876;C1696103;C0040405;C1553386
ROCO_00368,C0015726;C1261259;C0772294;C0423899;C0796494;C0231881;C0221198
ROCO_00370,C1696103;C1553386;C1837463;C0376152;C1546708
ROCO_00371,C1507248;C0009924;C0607422
ROCO_00372,C0015726;C1261259;C0423899;C0005847
ROCO_00373,C1561543;C0000726
ROCO_00374,C1696103;C0771936;C1837463;C0376152;C1546708;C0231881
ROCO_00375,C1552858;C0015252;C0007876;C0006104;C0728940
ROCO_00377,C0772294;C0079595;C0231881;C0221198
ROCO_00378,C0035139
ROCO_00379,C0040395;C0034579;C0040405
ROCO_00380,C0079595
ROCO_00381,C1552858;C0728940;C0015252
ROCO_00383,C0817096
ROCO_00384,C0015726;C1261259;C0423899;C0000726
ROCO_00385,C1696103;C1507248;C0021853;C0009924
ROCO_00387,C0015726;C0040395;C0027651;C0034579;C0423899;C1561542;C0441633;C1261259;C0040405;C4300092
ROCO_00388,C0002978;C0771936;C1837463;C0005847;C0006104;C1696103;C0376152;C1546708
ROCO_00389,C0040395;C0027651;C0034579;C0607422;C0040405;C4300092
ROCO_00390,C0772294;C0376152;C1546708;C1837463;C0221198;C0771936
ROCO_00394,C0015726;C1696103;C1507248;C0772294;C1261259;C0423899;C0023884;C0796494;C0009924;C0221198
ROCO_00395,C0015726;C0034579;C0040395;C0423899;C0030797;C1261259;C0040405
ROCO_00397,C0042449;C0003483
ROCO_00398,C1696103;C0935598;C0817096;C1550227
ROCO_00399,C1709311;C1837463;C0376152;C0607422;C0441633;C1546708
ROCO_00400,C0027651;C0002978;C1837463;C0023884;C0376152;C0796494;C0441633;C1546708
ROCO_00403,C1696103;C0772294;C0006104;C0018827
ROCO_00404,C1837463;C0023884;C0376152;C0441633;C1546708
ROCO_00406,C0040395;C1507248;C0034579;C1837463;C0376152;C0009924;C1546708;C0040405;C4300092;C0771936
ROCO_00407,C0796494;C0006104
ROCO_00409,C0013604
ROCO_00410,C0231881;C0441633
ROCO_00411,C0043299;C1306645;C1696103;C1962945
ROCO_00413,C0043299;C1962945;C1548003;C0035139;C1306645
ROCO_00414,C0027651
ROCO_00416,C2242558;C1551379;C0374082;C0700185;C0333581
ROCO_00417,C0015726;C1261259;C1306645;C0423899;C0043299;C0687028;C1550227
ROCO_00420,C1696103;C1837463;C0376152;C0018827;C1546708
ROCO_00421,C1837463;C0376495;C0087111;C0376152;C1546708;C0441633
ROCO_00422,C0221874;C0003483;C1561542;C1696103
ROCO_00424,C0018827;C0011334;C0751437;C0935598;C2355627
ROCO_00426,C0013687;C0771936;C1837463;C2355627;C0817096;C0376152;C0018827;C0441633;C1546613;C1546708
ROCO_00430,C0015726;C1261259;C1696103;C1507248;C0423899;C0751438;C0009924;C0003842
ROCO_00435,C1837463;C0376152;C0796494;C0441633;C1546708;C0771936
ROCO_00436,C0015726;C1306645;C0221874;C0040395;C4300092;C1696103;C0221198;C0034579;C0423899;C0043299;C0441633;C1261259;C0040405;C1962945
ROCO_00437,C0015811;C1696103;C1553386;C0087111
ROCO_00439,C0771936;C1837463;C0376152;C1546708
ROCO_00440,C0027651;C0728940;C0015252
ROCO_00441,C0228505;C2707265;C1696103;C0024109
ROCO_00443,C0015726;C0015252;C0007876;C1552858;C0728940;C0221198;C0228505;C0935598;C0772294;C0423899;C1261259;C0376152;C0262950
ROCO_00448,C0028778;C1561543;C1837463;C0021853;C0000726;C1546708;C0771936
ROCO_00449,C0607422;C0038351;C0150312;C0441633
ROCO_00452,C1837463;C0376152;C0796494;C1546708
ROCO_00453,C4300092;C0040395;C0034579;C0227665;C1837463;C0376152;C0607422;C1546708;C0040405;C0022646
ROCO_00456,C0015726;C1261259;C0423899
ROCO_00457,C0002978
ROCO_00458,C0024947
ROCO_00459,C1306645;C1963113;C1962945;C1548003;C0016658
ROCO_00460,C0015726;C1261259;C0013604;C0423899;C0035139
ROCO_00461,C1561542
ROCO_00462,C0015726;C1261259;C0423899;C0227665;C0441633
ROCO_00464,C0040395;C0034579;C4300092;C0040405
ROCO_00465,C0549207;C1550227;C0231881
ROCO_00466,C0441633;C0817096
ROCO_00467,C0023884
ROCO_00469,C0025066;C0817096;C0376152;C0441633;C1837463;C1546708
ROCO_00470,C0015726;C0221874;C0231881;C1837463;C0423899;C1546708;C0771936;C1696103;C1261259;C0376152;C2985765
ROCO_00471,C0038351
ROCO_00473,C0015726;C1963113;C1261259;C0016658;C0423899;C1561542;C0751438;C0262950
ROCO_00474,C0040395;C0034579;C0040405
ROCO_00475,C0015726;C1261259;C0423899;C0412555
ROCO_00478,C0796494;C0817096
ROCO_00479,C1306645;C1962945;C0043299
ROCO_00480,C0772294
ROCO_00482,C1553386;C0150312;C2985765
ROCO_00483,C0015726;C1261259;C0423899;C0024109
ROCO_00484,C1962945;C1548003;C0043299;C1306645;C0817096
ROCO_00485,C0015726;C1261259;C0423899;C1837463;C0817096;C0376152;C0024109;C1546708
ROCO_00486,C1306645;C1548003;C1962945;C0043299
ROCO_00487,C1837463;C0376152;C0771936;C0087111;C1546708;C0003842
ROCO_00489,C1696103
ROCO_00492,C1306645;C1962945;C1548003;C0043299
ROCO_00493,C0015726;C1261259;C0423899;C1837463;C0376152;C1546708
ROCO_00497,C0011334;C1962945;C1548003;C0030797;C0043299;C1306645
ROCO_00498,C0011334;C1507248;C1561543;C0009924
ROCO_00499,C0687028;C0030274;C1550227
ROCO_00502,C0015726;C1261259;C0423899;C0817096
ROCO_00504,C0015726;C1261259;C0040395;C0423899;C0034579;C0205400;C0817096;C0040405;C4300092
ROCO_00505,C0015726;C1696103;C1261259;C0423899
ROCO_00507,C0772294;C0751438;C0817096;C0441633
ROCO_00508,C1837463;C0376152;C1546708
ROCO_00514,C1306645;C0027530;C1962945;C1548003;C0043299
ROCO_00516,C0231881
ROCO_00517,C1696103
ROCO_00518,C0042449;C1696103;C0412555;C0041618
ROCO_00519,C0772294;C0231881;C0221198;C0441633
ROCO_00520,C0043299;C1306645;C1548003;C0817096
ROCO_00521,C0005847
ROCO_00524,C0015726;C1696103;C0772294;C1261259;C0423899;C2985765
ROCO_00525,C0817096
ROCO_00526,C0015726;C1261259;C0423899;C0441633
ROCO_00527,C1550227;C0027530
ROCO_00528,C0751437;C1507248;C0025066;C0817096;C2985765;C0009924
ROCO_00529,C0040395;C0034579;C1837463;C0006104;C0376152;C0796494;C1546708;C0040405;C4300092
ROCO_00530,C0015726;C0221874;C0772294;C0024947;C1837463;C0221198;C0423899;C0004454;C1546708;C0771936;C1261259
ROCO_00531,C0027530
ROCO_00532,C1553386;C3244072
ROCO_00533,C0549207
ROCO_00534,C0549207
ROCO_00536,C1561543
ROCO_00537,C0772294;C0221198
ROCO_00538,C0015726;C1261259;C0423899;C1837463;C0023884;C0376152;C0000726;C1546708
ROCO_00539,C0018827
ROCO_00540,C0015726;C0015252;C0043299;C0817096;C0796494;C0011334;C1962945;C0024109;C0728940;C0423899;C1548003;C1261259;C1306645
ROCO_00541,C0030797;C0035139
ROCO_00542,C0023884;C0607422
ROCO_00545,C0015726;C0772294;C1261259;C0423899;C0030797;C1837463;C1696103;C0015811;C1546708;C0221198;C0262950;C0771936
ROCO_00546,C0013687;C1546613
ROCO_00547,C0043299;C1306645;C1548003
ROCO_00548,C0687028;C1837463;C0376152;C1550227;C1546708;C0771936
ROCO_00549,C0015726;C1261259;C0013604;C0423899;C0772294
ROCO_00550,C0015726;C1306645;C0221874;C1261259;C1962945;C0423899;C0043299;C1548003
ROCO_00551,C1696103;C0441633
ROCO_00554,C0015726;C2355627;C1261259;C1837463;C1696103;C0376152;C0018827;C1546708;C0423899
ROCO_00555,C0150312;C0021853
ROCO_00556,C0412555
ROCO_00558,C0441633
ROCO_00560,C0011334;C0935598;C0412555;C0041618
ROCO_00562,C1696103
ROCO_00563,C0079595;C0038351
ROCO_00564,C2242558;C0227665;C1551379;C0374082;C0333581;C0700185;C0022646
ROCO_00565,C1507248;C1837463;C0376152;C0009924;C1546708;C0771936
ROCO_00566,C0015726;C1261259;C0423899
ROCO_00568,C0015726;C1261259;C0040395;C4300092;C0221198;C0034579;C0423899;C1837463;C0376152;C0441633;C0040405;C1546708;C0771936
ROCO_00573,C0027530;C0027651;C0005847;C0441633
ROCO_00574,C0796494;C0040405;C4300092;C0040395;C0027530;C0034579;C0441633
ROCO_00575,C0015726;C0228505;C1962945;C1548003;C1261259;C0423899;C1837463;C0043299;C1306645;C0817096;C0376152;C0024109;C1546708
ROCO_00576,C1507248;C1553386;C0009924
ROCO_00577,C1963113;C0027530;C0016658;C0015811
ROCO_00579,C0028778
ROCO_00580,C1837463;C0376152;C1546708;C0771936
ROCO_00581,C0028778;C0027530;C0011334;C0150312
ROCO_00583,C0015726;C1261259;C0423899;C0015811
ROCO_00584,C0607422;C1709311;C0000726
ROCO_00585,C0015726;C0796494;C1261259;C0040395;C0034579;C0423899;C0040405;C4300092
ROCO_00586,C0003483
ROCO_00588,C1306645;C1962945;C0043299;C1548003
ROCO_00589,C1552858;C0687028;C0015252;C0007876;C1550227;C0728940
ROCO_00591,C1507248;C0009924;C0607422
ROCO_00592,C0015726;C1261259;C0423899
ROCO_00594,C0013687;C0817096
ROCO_00595,C0034579
ROCO_00596,C0027530
ROCO_00597,C1553386
ROCO_00598,C1322279;C0700124
ROCO_00601,C0015726;C1261259;C0040395;C0034579;C0423899;C0030797;C1550227;C0040405
ROCO_00602,C0015726;C0013516;C1261259;C0423899;C0183129;C1561542;C2355627;C0018792;C0018827
ROCO_00603,C3244072;C1696103;C0002978
ROCO_00604,C0043299;C1548003;C1561543;C1561542;C0035139;C1306645
ROCO_00605,C0231881
ROCO_00607,C0772294;C1837463;C0376152;C0441633;C0221198;C1546708
ROCO_00608,C0015726;C1261259;C0040395;C0034579;C0423899;C0227665;C4300092;C0607422;C0040405
ROCO_00609,C0935598;C1696103;C0376152;C1546708;C1837463;C0771936
ROCO_00610,C0018787
ROCO_00613,C0018827;C0035139;C0018792;C0751437;C0003483;C1696103
ROCO_00615,C0040395;C1696103;C0034579;C0040405;C4300092
ROCO_00618,C0015726;C1261259;C0423899;C1837463;C0376152;C0441633;C1546708
ROCO_00622,C0021853;C0607422
ROCO_00623,C0228505;C1837463;C0376152;C0024109;C1546708
ROCO_00626,C0772294;C1553386;C0023884;C0441633;C0221198
ROCO_00627,C0040395;C0034579;C0038351;C0040405
ROCO_00628,C0040395;C0034579;C1561543;C0817096;C0441633;C0040405;C4300092
ROCO_00629,C0935598;C0772294;C0549207;C1561543;C1507248;C0079595;C0009924;C0231881;C0221198
ROCO_00630,C0015726;C1261259;C0002978;C0423899;C0018787
ROCO_00631,C1963113
ROCO_00632,C0040395;C0034579;C0040405;C4300092
ROCO_00633,C1306645;C1962945;C0043299;C1548003
ROCO_00634,C0043299;C0035139;C1306645;C1548003;C1962945
ROCO_00635,C1306645;C1962945;C1548003;C0376495;C0043299
ROCO_00636,C0772294;C0231881
ROCO_00637,C0028778;C3244072;C1709311;C0817096
ROCO_00638,C0015726;C2707265;C0240795;C0556030;C1261259;C0423899;C0231519;C0024109;C0003842
ROCO_00641,C0040395;C0034579;C0025066;C0817096;C0040405
ROCO_00642,C1550227;C0549207
ROCO_00643,C0015726;C2707265;C1261259;C0423899;C0817096;C0003842;C0024109;C0796494
ROCO_00644,C1322279;C0700124;C0441633
ROCO_00645,C1507248;C0772294;C0009924;C0221198
ROCO_00646,C1696103
ROCO_00647,C0021853
ROCO_00648,C0034579;C1696103;C0040395;C0040405
ROCO_00649,C0015726;C0040395;C0034579;C0423899;C0796494;C1696103;C1261259;C0040405;C4300092
ROCO_00651,C0005847;C0002978
ROCO_00652,C1709311;C1696103;C0549207;C0817096
ROCO_00653,C0015726;C1261259;C0040395;C0034579;C0423899;C0040405
ROCO_00654,C1963113;C0016658;C1837463;C0376152;C1546708
ROCO_00655,C0028778
ROCO_00659,C0015726;C1261259;C0772294;C0817096;C0796494;C0040405;C0040395;C4300092;C0024109;C0221198;C0013687;C0034579;C0423899;C0441633;C1546613
